"","id","n","correct","near","t","l","cond","csv"
"532",309,20,0,30,693,2,"uncued",13
"533",309,20,0,30,3349,2,"uncued",12
"534",309,10,0,30,2120,2,"uncued",17
"535",309,50,1,70,580,2,"uncued",2
"536",309,20,1,30,405,2,"uncued",11
"537",309,10,0,70,903,2,"uncued",10
"538",309,10,1,30,4026,2,"uncued",16
"539",309,10,0,30,158,2,"uncued",2
"540",309,40,0,30,592,2,"uncued",9
"541",309,50,1,70,980,2,"uncued",13
"542",309,30,0,30,2502,2,"uncued",10
"543",309,40,1,70,684,2,"uncued",12
"544",309,50,0,30,1284,2,"uncued",5
"545",309,40,1,30,1358,2,"uncued",16
"546",309,10,1,30,336,2,"uncued",17
"547",309,20,1,70,926,2,"uncued",11
"548",309,10,0,30,994,2,"uncued",16
"549",309,10,0,70,157,2,"uncued",1
"550",309,50,0,70,723,2,"uncued",14
"551",309,40,1,30,655,2,"uncued",10
"552",309,50,1,70,156,2,"uncued",2
"553",309,20,1,30,14,2,"uncued",7
"554",309,10,1,30,392,2,"uncued",13
"555",309,20,0,70,2405,2,"uncued",11
"556",309,30,1,70,199,2,"uncued",12
"557",309,30,1,30,701,2,"uncued",19
"558",309,20,1,70,1214,2,"uncued",18
"559",309,30,1,70,1806,2,"uncued",1
"560",309,10,0,70,199,2,"uncued",15
"561",309,20,1,30,631,2,"uncued",9
"562",309,50,1,30,1820,2,"uncued",16
"563",309,40,0,30,1032,2,"uncued",4
"564",309,40,0,30,779,2,"uncued",11
"565",309,30,0,30,485,2,"uncued",6
"566",309,50,1,70,261,2,"uncued",16
"567",309,30,0,30,735,2,"uncued",11
"568",309,40,1,30,684,2,"uncued",4
"569",309,50,1,70,398,2,"uncued",11
"570",309,40,1,70,98,2,"uncued",18
"571",309,10,0,70,149,2,"uncued",19
"572",309,30,1,30,901,2,"uncued",9
"573",309,20,1,30,357,2,"uncued",20
"574",309,10,1,70,236,2,"uncued",1
"575",309,50,1,30,877,2,"uncued",17
"576",309,30,0,70,390,2,"uncued",8
"577",309,20,1,30,103,2,"uncued",8
"578",309,40,1,70,1057,2,"uncued",15
"579",309,30,1,70,686,2,"uncued",6
"580",309,20,0,70,4037,2,"uncued",4
